file	model	utmos_ref	utmos	pesq_wb	estoi	mcd_db	seconds
06073637_v079_f0c3ad7624.flac	plus_cba	2.8483	2.6648	2.8393	0.9411	2.8846	9.92
06073637_v079_f0c3ad7624.flac	vocos_pretrained_en	2.8483	2.4744	2.614	0.9181	3.6439	9.92
06073637_v079_f0c3ad7624.flac	bigvgan_v2	2.8483	2.815	4.2236	0.9843	2.6569	9.92
06099960_v019_a6973dd349.flac	baseline	3.5418	2.7069	3.8636	0.9706	2.6917	4.0
06099960_v019_a6973dd349.flac	plus_c	3.5418	3.1868	3.838	0.9714	2.7301	4.0
06099960_v019_a6973dd349.flac	plus_cb	3.5418	2.7619	3.7814	0.9767	2.725	4.0
06099960_v019_a6973dd349.flac	plus_cba	3.5418	2.8795	3.9614	0.973	2.7671	4.0
06099960_v019_a6973dd349.flac	vocos_pretrained_en	3.5418	2.9146	3.8593	0.9743	2.9205	4.0
06099960_v019_a6973dd349.flac	bigvgan_v2	3.5418	3.518	4.2744	0.9917	2.7492	4.0
04919111_v062_d1c61fa8e8.flac	baseline	3.3742	3.4939	2.3269	0.9633	2.8327	2.24
04919111_v062_d1c61fa8e8.flac	plus_c	3.3742	3.4317	2.4082	0.9654	2.5649	2.24
04919111_v062_d1c61fa8e8.flac	plus_cb	3.3742	3.4917	2.6699	0.9678	2.4802	2.24
04919111_v062_d1c61fa8e8.flac	plus_cba	3.3742	3.353	2.6671	0.9604	2.5234	2.24
04919111_v062_d1c61fa8e8.flac	vocos_pretrained_en	3.3742	2.9814	2.324	0.9559	2.9709	2.24
04919111_v062_d1c61fa8e8.flac	bigvgan_v2	3.3742	3.4588	3.4357	0.9958	2.9954	2.24
06114117_v015_6fe874432f.flac	baseline	3.0499	2.2754	3.8869	0.9635	2.0572	2.56
06114117_v015_6fe874432f.flac	plus_c	3.0499	2.0477	3.9007	0.9566	2.0572	2.56
06114117_v015_6fe874432f.flac	plus_cb	3.0499	2.4314	3.6944	0.9595	2.1008	2.56
06114117_v015_6fe874432f.flac	plus_cba	3.0499	2.493	3.5618	0.9507	2.1444	2.56
06114117_v015_6fe874432f.flac	vocos_pretrained_en	3.0499	2.9227	3.8613	0.9653	2.1926	2.56
06114117_v015_6fe874432f.flac	bigvgan_v2	3.0499	3.0619	4.4779	0.9945	1.9399	2.56
01938332_v042_bd4fdc71a1.flac	baseline	2.517	2.4663	3.3785	0.94	2.4579	4.96
01938332_v042_bd4fdc71a1.flac	plus_c	2.517	2.5838	3.4701	0.9496	2.4091	4.96
01938332_v042_bd4fdc71a1.flac	plus_cb	2.517	2.5775	3.277	0.9386	2.3347	4.96
01938332_v042_bd4fdc71a1.flac	plus_cba	2.517	2.5868	3.2968	0.9487	2.4081	4.96
01938332_v042_bd4fdc71a1.flac	vocos_pretrained_en	2.517	2.4908	3.129	0.9396	2.8057	4.96
01938332_v042_bd4fdc71a1.flac	bigvgan_v2	2.517	2.5664	4.4237	0.9866	2.6948	4.96
06005391_v003_c0854a35f5.flac	baseline	2.9789	2.748	3.6334	0.9643	2.5233	5.76
06005391_v003_c0854a35f5.flac	plus_c	2.9789	2.7892	3.5025	0.9672	2.5048	5.76
06005391_v003_c0854a35f5.flac	plus_cb	2.9789	2.8403	3.6933	0.9674	2.4376	5.76
06005391_v003_c0854a35f5.flac	plus_cba	2.9789	2.7186	3.5636	0.964	2.5158	5.76
06005391_v003_c0854a35f5.flac	vocos_pretrained_en	2.9789	2.7344	3.4005	0.957	2.8367	5.76
06005391_v003_c0854a35f5.flac	bigvgan_v2	2.9789	2.9059	4.4392	0.9965	2.7776	5.76
01794237_v011_4ad199dc3c.flac	baseline	3.4944	3.0253	3.4015	0.9598	2.2622	4.0
01794237_v011_4ad199dc3c.flac	plus_c	3.4944	3.3011	3.8275	0.9692	2.2919	4.0
01794237_v011_4ad199dc3c.flac	plus_cb	3.4944	3.0935	3.5405	0.975	2.3424	4.0
01794237_v011_4ad199dc3c.flac	plus_cba	3.4944	2.8072	3.2123	0.9592	2.3857	4.0
01794237_v011_4ad199dc3c.flac	vocos_pretrained_en	3.4944	3.0316	3.5243	0.9688	2.597	4.0
01794237_v011_4ad199dc3c.flac	bigvgan_v2	3.4944	3.5091	4.5435	0.9947	2.6075	4.0
